Word,Frequency
gut,5
cure,5
explain,5
clips,5
disappear,5
game's,5
drain,5
taught,5
bling,5
cameras,5
lonely,5
testin',5
band,5
peter,5
pan,5
priest,5
honest,5
everyday,5
outcome,5
depression,5
protection,5
direction,5
canvas,5
present,5
7,5
south,5
splash,5
wit,5
dawg,5
create,5
wealth,5
era,5
government,5
darkness,5
puttin',5
spliff,5
homes,5
dimes,5
protect,5
fitted,5
razor,5
envy,5
prime,5
sling,5
mentally,5
trial,5
fore,5
balance,5
numb,5
trip,5
literally,5
detention,5
moses,5
sour,5
doc,5
entire,5
nation,5
chose,5
covid,5
arrest,5
dancin',5
wise,5
plenty,5
lil,5
rounds,5
lightning,5
ski,5
slowly,5
cracks,5
packs,5
president,5
listenin',5
tools,5
groove,5
lesson,5
gain,5
mistakes,5
struggle,5
awake,5
disperse,5
beam,5
seed,5
conflict,5
rolled,5
fighting,5
hung,5
rush,5
silent,5
special,5
giant,5
sitting,5
base,5
hoodie,5
designer,5
foreign,5
liars,5
tearin',5
impact,5
uzi,5
generation,5
slaughter,5
sea,5
hanging,5
stocks,5
yup,5
rebel,5
alright,5
laughing,5
weird,5
champagne,5
status,5
ol',5
visions,5
telling,5
dies,5
weigh,5
bastard,5
ending,5
history,5
color,5
pinch,5
walked,5
louder,5
project,5
via,5
muhammad,5
buddha,5
pissed,5
bend,5
packing,5
shells,5
clowns,5
pool,5
busy,5
rented,5
breed,5
veteran,5
animal,5
porch,5
royce,5
garbage,5
obvious,5
flying,5
wrap,5
final,5
alley,5
grapes,5
butt,5
bagpipes,5
baghdad,5
remind,5
whore,5
coin,5
shouldn't,5
yellin',5
invented,5
gift,5
penny,5
note,5
bully,5
he'd,5
rug,5
–,5
blades,5
hearing,5
ali,5
glue,5
crap,5
fuel,5
discombobulated,5
hollow,5
missing,5
beginning,5
calm,5
wearing,5
rid,5
da,5
woah,5
diddy,5
uncle,5
waist,5
upset,5
chat,5
uh-uh,5
blame,5
nickel,5
thug,5
bitin',5
bubble,5
glad,5
keepin',5
dee,5
obstacle,5
estate,5
layin',5
mans,5
technique,5
mo',5
sendin',5
flop,5
queen,5
range,5
ancient,5
survived,5
jid,5
village,5
charge,5
prefer,5
collect,5
ignore,5
shows,5
they’ll,5
recipe,5
haunted,5
false,5
section,5
celebrate,5
chilling,5
answer,5
bros,5
cast,5
bow,5
younger,5
study,5
rhythm,5
sixteen,5
mass,5
painter,5
frozen,5
fiends,5
luther,5
cig,5
slugs,5
cardiac,4
burning,4
learning,4
latest,4
adversaries,4
caskets,4
murdered,4
completely,4
legendary,4
kane,4
benjamins,4
burned,4
groupie,4
rub,4
contemplating,4
dangerous,4
almost,4
degree,4
lames,4
yuck,4
prophet,4
checks,4
attitude,4
drag,4
grease,4
sock,4
bayonet,4
flies,4
trail,4
toy,4
silver,4
lazy,4
cutting,4
claws,4
bear,4
bloody,4
spider,4
remedy,4
flipped,4
personal,4
mack,4
halo,4
expect,4
heels,4
hall,4
hammer,4
curb,4
cents,4
chewed,4
anyway,4
ribbon,4
lieutenant,4
attending,4
tablet,4
rollie,4
cuckoo,4
fry,4
butter,4
tighter,4
illest,4
smith,4
island,4
pair,4
